DATE,ATNHPIUS45300Q
2002-01-01,151.34
2002-04-01,155.46
2002-07-01,159.55
2002-10-01,162.39
2003-01-01,165.24
2003-04-01,168.09
2003-07-01,172.33
2003-10-01,179.34
2004-01-01,184.35
2004-04-01,192.48
2004-07-01,203.17
2004-10-01,211.38
2005-01-01,220.77
2005-04-01,235.5
2005-07-01,250.48
2005-10-01,266.3
2006-01-01,277.85
2006-04-01,284.87
2006-07-01,287.69
2006-10-01,290.09
2007-01-01,288.23
2007-04-01,284.64
2007-07-01,273.76
2007-10-01,268.36
2008-01-01,256.93
2008-04-01,239.64
2008-07-01,223.31
2008-10-01,212.98
2009-01-01,215.17
2009-04-01,203.87
2009-07-01,194.08
2009-10-01,189.12
2010-01-01,187.16
2010-04-01,180.01
2010-07-01,181.92
2010-10-01,176.95
2011-01-01,169.58
2011-04-01,165.62
2011-07-01,167.62
2011-10-01,167.36
2012-01-01,164.93
2012-04-01,163.98
2012-07-01,168.75
2012-10-01,171.06
2013-01-01,171.37
2013-04-01,178.72
2013-07-01,184.54
2013-10-01,189.09
2014-01-01,190.99
2014-04-01,196.14
2014-07-01,200.76
2014-10-01,202.94
2015-01-01,206.98
2015-04-01,213.2
2015-07-01,219.13
2015-10-01,222.26
2016-01-01,227.14
2016-04-01,234.83
2016-07-01,240.41
2016-10-01,246.71
2017-01-01,250.91
2017-04-01,259.49
2017-07-01,264.21
2017-10-01,269.1
2018-01-01,276.48
2018-04-01,283.48
2018-07-01,288.37
2018-10-01,290.05
2019-01-01,296
2019-04-01,300.98
2019-07-01,307.47
2019-10-01,311.75
2020-01-01,317.2
2020-04-01,321.58
2020-07-01,329.41
2020-10-01,338.05
2021-01-01,351.21
2021-04-01,375.62
2021-07-01,403.85
2021-10-01,426.63
