DATE,CSUSHPINSA
1987-01-01,63.732
1987-02-01,64.132
1987-03-01,64.468
1987-04-01,64.972
1987-05-01,65.547
1987-06-01,66.218
1987-07-01,66.785
1987-08-01,67.268
1987-09-01,67.62100000000001
1987-10-01,67.899
1987-11-01,68.089
1987-12-01,68.342
1988-01-01,68.581
1988-02-01,68.914
1988-03-01,69.322
1988-04-01,69.786
1988-05-01,70.406
1988-06-01,71.065
1988-07-01,71.684
1988-08-01,72.184
1988-09-01,72.57300000000001
1988-10-01,72.821
1988-11-01,73.064
1988-12-01,73.277
1989-01-01,73.617
1989-02-01,73.968
1989-03-01,74.41
1989-04-01,74.868
1989-05-01,75.296
1989-06-01,75.696
1989-07-01,76.04
1989-08-01,76.271
1989-09-01,76.42
1989-10-01,76.488
1989-11-01,76.52199999999999
1989-12-01,76.498
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.038
1990-05-01,77.296
1990-06-01,77.50399999999999
1990-07-01,77.559
1990-08-01,77.477
1990-09-01,77.227
1990-10-01,76.911
1990-11-01,76.38
1990-12-01,75.97
1991-01-01,75.531
1991-02-01,75.248
1991-03-01,75.135
1991-04-01,75.316
1991-05-01,75.768
1991-06-01,76.252
1991-07-01,76.515
1991-08-01,76.592
1991-09-01,76.574
1991-10-01,76.285
1991-11-01,76.03
1991-12-01,75.844
1992-01-01,75.69800000000001
1992-02-01,75.653
1992-03-01,75.812
1992-04-01,76.079
1992-05-01,76.39699999999999
1992-06-01,76.601
1992-07-01,76.71
1992-08-01,76.73
1992-09-01,76.626
1992-10-01,76.596
1992-11-01,76.577
1992-12-01,76.462
1993-01-01,76.39399999999999
1993-02-01,76.32600000000001
1993-03-01,76.382
1993-04-01,76.66
1993-05-01,77.03
1993-06-01,77.515
1993-07-01,77.883
1993-08-01,78.12899999999999
1993-09-01,78.196
1993-10-01,78.17
1993-11-01,78.168
1993-12-01,78.112
1994-01-01,78.197
1994-02-01,78.204
1994-03-01,78.348
1994-04-01,78.7
1994-05-01,79.207
1994-06-01,79.7
1994-07-01,80.062
1994-08-01,80.316
1994-09-01,80.33800000000001
1994-10-01,80.30199999999999
1994-11-01,80.168
1994-12-01,80.077
1995-01-01,80.025
1995-02-01,79.991
1995-03-01,80.077
1995-04-01,80.369
1995-05-01,80.691
1995-06-01,81.068
1995-07-01,81.411
1995-08-01,81.653
1995-09-01,81.737
1995-10-01,81.726
1995-11-01,81.63
1995-12-01,81.512
1996-01-01,81.426
1996-02-01,81.398
1996-03-01,81.665
1996-04-01,82.124
1996-05-01,82.601
1996-06-01,83.04799999999999
1996-07-01,83.417
1996-08-01,83.64399999999999
1996-09-01,83.70100000000001
1996-10-01,83.62799999999999
1996-11-01,83.556
1996-12-01,83.49
1997-01-01,83.529
1997-02-01,83.595
1997-03-01,83.91
1997-04-01,84.32
1997-05-01,84.863
1997-06-01,85.397
1997-07-01,85.84
1997-08-01,86.149
1997-09-01,86.309
1997-10-01,86.406
1997-11-01,86.631
1997-12-01,86.84700000000001
1998-01-01,87.162
1998-02-01,87.37200000000001
1998-03-01,87.876
1998-04-01,88.556
1998-05-01,89.37200000000001
1998-06-01,90.193
1998-07-01,90.85700000000001
1998-08-01,91.405
1998-09-01,91.751
1998-10-01,91.999
1998-11-01,92.197
1998-12-01,92.443
1999-01-01,92.713
