,DATE,ATNHPIUS45300Q,"1111 N Bayshore Blvd APT D4, Clearwater, FL 33759","1404 Spring Ln, Clearwater, FL 33755","2360 Irish Ln APT 44, Clearwater, FL 33763","3455 Countryside Blvd APT 108, Clearwater, FL 33761","445 Hamden Dr APT 403, Clearwater, FL 33767","2650 Countryside Blvd APT C108, Clearwater, FL 33761","363 S McMullen Booth Rd APT 108, Clearwater, FL 33759","2451 Golden Pasture Cir, Clearwater, FL 33764","812 Willowbranch Ave, Clearwater, FL 33764","29 Acacia St, Clearwater, FL 33767","1923 N Betty Ln, Clearwater, FL 33755","2458 Florentine Way APT 68, Clearwater, FL 33763","2274 Capri Dr, Clearwater, FL 33763","2007 N Keene Rd, Clearwater, FL 33755","2460 Franciscan Dr APT 44, Clearwater, FL 33763","1540 Gulf Blvd APT 2104, Clearwater, FL 33767","2886 Green Meadow Ct, Clearwater, FL 33761","880 Mandalay Ave APT C903, Clearwater, FL 33767","1290 Gulf Blvd APT 706, Clearwater, FL 33767","2453 Brazilia Dr APT 1, Clearwater, FL 33763","1433 S Belcher Rd APT B10, Clearwater, FL 33764","2465 Northside Dr APT 1704, Clearwater, FL 33761","2804 Edenwood St, Clearwater, FL 33759","2295 Americus Blvd E APT 55, Clearwater, FL 33763","637 Harbor Is, Clearwater, FL 33767","1612 N Betty Ln, Clearwater, FL 33755","121 Island Way APT 311, Clearwater, FL 33767","2240 Terrace Dr N, Clearwater, FL 33765","4563 Great Lakes Dr S, Clearwater, FL 33762","736 Island Way APT 102, Clearwater, FL 33767","1433 S Belcher Rd APT D1, Clearwater, FL 33764","3077 Casa Del Sol Cir APT 105, Clearwater, FL 33761","2746 Via Tivoli UNIT 114B, Clearwater, FL 33764","2709 Via Cipriani UNIT 514A, Clearwater, FL 33764","227 Bayside Dr, Clearwater, FL 33767","1210 Jackson Rd, Clearwater, FL 33755","101 S Fernwood Ave, Clearwater, FL 33765","3022 Oakmont Dr, Clearwater, FL 33761","2378 Ecuadorian Way APT 38, Clearwater, FL 33763","1281 Mission Cir, Clearwater, FL 33759","2291 Gulf To Bay Blvd, Clearwater, FL 33765","618 S Crest Ave, Clearwater, FL 33756","804 Eldorado Ave, Clearwater, FL 33767","404 Palm Bluff St, Clearwater, FL 33755","2468 Florentine Way APT 60, Clearwater, FL 33763","1621 Gulf Blvd APT 108, Clearwater, FL 33767","880 Mandalay Ave APT S411, Clearwater, FL 33767","661 Poinsettia Ave APT 105, Clearwater, FL 33767","400 Island Way APT 103, Clearwater, FL 33767","1225 Grove St, Clearwater, FL 33755","1224 Palm St, Clearwater, FL 33755","701 S Madison Ave APT 414, Clearwater, FL 33756","1621 Gulf Blvd APT 1108, Clearwater, FL 33767","830 S Gulfview Blvd APT 102, Clearwater, FL 33767","1390 Gulf Blvd APT 1204, Clearwater, FL 33767","700 N Osceola Ave APT 304, Clearwater, FL 33755","2650 Countryside Blvd APT B203, Clearwater, FL 33761","2468 Florentine Way APT 52, Clearwater, FL 33763","700 S Glenwood Ave, Clearwater, FL 33756","880 Mandalay Ave APT N403, Clearwater, FL 33767","2072 Australia Way W APT 24, Clearwater, FL 33763","644 Island Way APT 405, Clearwater, FL 33767","420 N Bayshore Blvd APT 108, Clearwater, FL 33759","349 S McMullen Booth Rd APT 125, Clearwater, FL 33759","3025 Oakmont Dr, Clearwater, FL 33761","1475 Byram Dr, Clearwater, FL 33755","1345 Drew St APT 7, Clearwater, FL 33755","1860 N Fort Harrison Ave APT 104, Clearwater, FL 33755","1537 Tilley Ave, Clearwater, FL 33756","1715 N Washington Ave, Clearwater, FL 33755","820 Druid Rd S, Clearwater, FL 33756","2331 Finlandia Ln APT 57, Clearwater, FL 33763","2293 Swedish Dr APT 45, Clearwater, FL 33763","2351 Irish Ln APT 31, Clearwater, FL 33763","1180 Gulf Blvd APT 901, Clearwater, FL 33767","2361 Ecuadorian Way APT 23, Clearwater, FL 33763","2254 Norwegian Dr APT 40, Clearwater, FL 33763","10 Papaya St APT 505, Clearwater, FL 33767","3055 Casa Del Sol Cir APT 307, Clearwater, FL 33761","2675 Firestone Dr, Clearwater, FL 33761","1554 Tilley Ave, Clearwater, FL 33756","1230 Gulf Blvd APT 1704, Clearwater, FL 33767","2421 Old Coach Trl, Clearwater, FL 33765","2222 Norwegian Dr APT 46, Clearwater, FL 33763","2331 Finlandia Ln APT 15, Clearwater, FL 33763","1560 Gulf Blvd APT 1607, Clearwater, FL 33767","2400 Franciscan Dr APT 52, Clearwater, FL 33763","2371 Israeli Dr APT 61, Clearwater, FL 33763","2436 Rhodesian Dr APT 22, Clearwater, FL 33763","1609 Miller Ave, Clearwater, FL 33756","1020 Mandalay Ave, Clearwater, FL 33767","11 San Marco St APT 706, Clearwater, FL 33767","521 Mandalay Ave APT 810, Clearwater, FL 33767","2453 Brazilia Dr APT 49, Clearwater, FL 33763","2257 World Parkway Blvd W APT 63, Clearwater, FL 33763","2416 World Parkway Blvd APT 50, Clearwater, FL 33763","331 Cleveland St APT 104, Clearwater, FL 33755","1200 Gulf Blvd APT 1001, Clearwater, FL 33767","701 S Madison Ave APT 413, Clearwater, FL 33756","701 S Madison Ave APT 211, Clearwater, FL 33756","616 Wildwood Way, Clearwater, FL 33756","11 Baymont St APT 403, Clearwater, FL 33767","1180 Gulf Blvd APT 1505, Clearwater, FL 33767","1180 Gulf Blvd APT 2201, Clearwater, FL 33767","1180 Gulf Blvd APT 305, Clearwater, FL 33767","2433 Gulf To Bay Blvd, Clearwater, FL 33765","Belle Haven Dr, Clearwater, FL 33763","880 Mandalay Ave APT S302, Clearwater, FL 33767","1208 N Fort Harrison Ave, Clearwater, FL 33755","1100 S Myrtle Ave, Clearwater, FL 33756","24862 Us Highway 19 N APT 1902, Clearwater, FL 33763","2625 State Road 590 APT 2721, Clearwater, FL 33759","1284 Calusa Cir, Clearwater, FL 33755","2730 Via Tivoli UNIT 331B, Clearwater, FL 33764","1330 Parkwood St, Clearwater, FL 33755","30 Turner St APT 302, Clearwater, FL 33756","1008 La Salle St, Clearwater, FL 33755","2549 Highland Acres Dr, Clearwater, FL 33761","1575 Greenlea Dr APT 9, Clearwater, FL 33755","2431 Franciscan Dr APT 49, Clearwater, FL 33763","219 N Missouri Ave, Clearwater, FL 33755","1006 Jeffords St, Clearwater, FL 33756","701 S Madison Ave APT 514, Clearwater, FL 33756","1465 Eastfield Dr, Clearwater, FL 33764"
0,1/31/2002,152.6690323,187379.26,30848.09333,52762.45667,85672.18,238080.0867,64903.16667,38814.63889,131333.4667,207995.56,316002.065,190433.5267,45966.71333,95751.26,178318.2689,95140.40667,317083.7844,276411.1333,242814.2,272746.0133,67804.72,35429.49333,41996.16667,65310.40222,83381.48,643228.56,53449.66667,54213.23333,58451.02833,78112.87,168870.404,51515.29778,60627.19333,200665.32,142863.3233,528846.2733,181881.58,89642.72667,729995.1856,49097.33667,32604.29667,2144553.34,45203.14667,1340364.927,100485.3733,47951.98667,173558.7033,189517.2467,98041.96,129348.1933,68812.628,26113.98,320545.2867,201123.46,182645.1467,373078.6733,166915.6733,49326.40667,52533.38667,103386.9267,129959.0467,42607.02,125683.0733,35887.63333,20921.72667,682475.8867,122781.52,14507.76667,356127.4933,70248.13333,43217.87333,1316847.073,40927.17333,58947.34667,36651.2,656361.9067,45814,49173.69333,639563.44,49937.26,203872.3,37872.90667,175162.1933,230749.8467,65055.88,40163.60667,617572.72,36803.91333,57572.92667,62612.46667,51769.82,236247.5267,385906.5933,917348.9933,47951.98667,45355.86,32680.65333,451420.6133,554043.9733,320545.2867,138969.1333,4581.4,550073.4267,484101.2667,1736961.453,599705.26,629026.22,20310.87333,178063.7467,149811.78,109800.8867,19547.30667,27641.11333,109495.46,98194.67333,32375.22667,99416.38,42912.44667,71469.84,32375.22667,43676.01333,268928.18,120185.3933,1534310.86,107968.3267
1,2/28/2002,154.037619,188952.0013,31107.01244,53205.31089,86391.25733,240078.3782,65447.92222,39140.42407,132435.7956,209741.3413,318654.3837,192031.9036,46352.52844,96554.93467,179814.9581,95938.95422,319745.1824,278731.1511,244852.2267,275035.2684,68373.82933,35726.86578,42348.65556,65858.57585,84081.33067,648627.408,53898.28889,54668.26444,58941.62878,78768.49933,170287.7939,51947.68415,61136.05911,202349.576,144062.4264,533285.0698,183408.1773,90395.13022,736122.297,49509.42822,32877.95622,2162553.345,45582.55289,1351615.09,101328.7831,48354.46489,175015.4438,191107.9329,98864.86133,130433.8591,69390.19707,26333.164,323235.7382,202811.5613,184178.1529,376210.0564,168316.6564,49740.42089,52974.31822,104254.6902,131049.8396,42964.636,126737.9764,36188.85111,21097.33022,688204.1516,123812.0693,14629.53556,359116.5991,70837.75111,43580.61644,1327899.843,41270.68978,59442.11289,36958.82667,661870.9876,46198.53333,49586.42578,644931.5253,50356.40133,205583.4733,38190.78756,176632.3924,232686.6129,65601.91733,40500.71422,622756.2293,37112.82178,58056.15689,63137.99556,52204.34267,238230.4369,389145.6458,925048.6324,48354.46489,45736.548,32954.95378,455209.5484,558694.2631,323235.7382,140135.5511,4619.853333,554690.3902,488164.5022,1751540.394,604738.8013,634305.8627,20481.34978,179558.2996,151069.204,110722.4849,19711.37422,27873.11511,110414.4947,99018.85644,32646.96356,100250.8173,43272.62622,72069.712,32646.96356,44042.60178,271185.3907,121194.1524,1547188.881,108874.5436
2,3/31/2002,155.4156989,190693.2507,31393.67289,53695.61378,87187.37867,242290.7724,66051.04444,39501.11481,133656.2311,211674.1707,321590.8793,193801.5351,46779.68089,97444.71733,181472.0068,96823.06044,322691.7301,281299.7422,247108.6133,277569.8009,69003.91467,36056.09956,42738.91111,66465.48237,84856.16533,654604.704,54394.97778,55172.04889,59484.79356,79494.37467,171857.0469,52426.39763,61699.44622,204214.288,145390.0049,538199.4516,185098.3387,91228.14844,742905.8846,49965.67244,33180.93644,2182481.923,46002.60978,1364070.628,102262.5582,48800.06578,176628.2636,192869.0498,99775.93067,131635.8462,70029.64853,26575.832,326214.4524,204680.5307,185875.4098,379676.9449,169867.7449,50198.79378,53462.49244,105215.4284,132257.5031,43360.568,127905.9049,36522.34222,21291.74844,694546.1591,124953.0347,14764.35111,362425.9662,71490.54222,43982.22489,1340136.838,41651.01156,59989.88978,37299.41333,667970.3271,46624.26667,50043.37956,650874.7627,50820.45067,207477.9867,38542.72711,178260.1129,234830.8898,66206.45867,40873.94044,628495.1147,37454.82756,58591.16178,63719.83111,52685.42133,240425.8018,392731.7396,933573.2329,48800.06578,46158.024,33258.64356,459404.4409,563842.7982,326214.4524,141426.9422,4662.426667,559802.0284,492663.0844,1767681.364,610311.6507,640151.1813,20670.09156,181212.9831,152461.352,111742.8258,19893.02044,28129.97422,111431.9973,99931.34489,32947.81511,101174.6587,43671.39644,72733.856,32947.81511,44448.46756,273684.4453,122310.9929,1561446.691,109877.8551
3,4/30/2002,156.7778889,192348.6999,31666.20813,54161.75698,87944.2711,244394.1509,66624.4478,39844.03251,134816.5297,213511.7598,324382.6791,195483.968,47185.78538,98290.65593,183047.4044,97663.60231,325493.0866,283741.7659,249253.8165,279979.4442,69602.95253,36369.11033,43109.93681,67042.48355,85592.82,660287.4686,54867.19231,55651.00934,60001.19387,80184.48247,173348.975,52881.52249,62235.07242,205987.1163,146652.1669,542871.677,186705.2173,92020.11967,749355.2108,50399.43522,33468.98731,2201428.519,46401.96835,1375912.42,103150.3215,49223.70967,178161.6116,194543.3876,100642.107,132778.6054,70637.59101,26806.54253,329046.3904,206457.4065,187489.0343,382973.0023,171342.4034,50634.58033,53926.61187,106128.8263,133405.659,43736.99044,129016.2836,36839.40055,21476.5867,700575.6641,126037.7789,14892.52363,365572.2642,72111.16703,44364.04407,1351770.855,42012.59297,60510.67495,37623.21758,673769.1215,47029.02198,50477.81692,656525.1468,51261.63396,209279.1478,38877.32484,179807.6274,236869.5074,66781.21121,41228.77593,633951.2163,37779.98099,59099.80429,64272.9967,53142.79484,242512.99,396141.1285,941677.7834,49223.70967,46558.73176,33547.36901,463392.6299,568737.6391,329046.3904,142654.7,4702.902198,564661.7905,496939.9989,1783026.987,615609.8977,645708.4718,20849.53308,182786.1321,153784.9019,112712.8893,20065.71604,28374.17659,112399.3625,100798.8704,33233.8422,102052.9777,44050.51725,73365.27429,33233.8422,44834.33429,276060.359,123372.801,1575001.946,110831.7285
4,5/31/2002,158.1426882,194058.2749,31947.65407,54643.14099,88725.91055,246566.3004,67216.5989,40198.16209,136014.7648,215409.4299,327265.7583,197221.409,47605.16769,99164.25297,184674.3105,98531.62615,328386.0349,286263.633,251469.1582,282467.8721,70221.57626,36692.35516,43493.09341,67638.35011,86353.56,666156.0343,55354.84615,56145.62967,60534.47819,80897.15374,174889.6825,53351.52791,62788.21121,207817.9081,147955.5959,547696.6635,188364.6336,92837.98484,756015.4012,50847.38011,33766.45615,2220994.584,46814.38418,1388141.385,104067.1108,49661.20484,179745.0933,196272.4688,101536.6035,133958.7277,71265.41051,27044.79626,331970.9202,208292.3782,189155.4171,386376.8262,172865.2767,51084.61516,54405.90593,107072.0881,134591.3545,44125.72022,130162.9668,37166.82527,21667.46835,706802.307,127157.9895,15024.88681,368821.4321,72752.08352,44758.34703,1363785.253,42385.99648,61048.48747,37957.60879,679757.5108,47447.01099,50926.45846,662360.2734,51717.24198,211139.1989,39222.86242,181405.7387,238974.7787,67374.7556,41595.21297,639585.7081,38115.76549,59625.07714,64844.24835,53615.12242,244668.42,399661.9892,950047.3167,49661.20484,46972.54088,33845.53451,467511.2149,573792.5196,331970.9202,143922.6,4744.701099,569680.4453,501356.7495,1798874.343,621081.3738,651447.4609,21034.84154,184410.716,155151.7259,113714.6697,20244.05802,28626.3633,113398.3563,101694.7602,33529.2211,102960.0138,44442.03363,74017.33714,33529.2211,45232.81714,278513.9545,124469.3255,1589000.398,111816.7892
5,6/30/2002,159.5045556,195712.7024,32220.0211,55108.99648,89482.33582,248668.3807,67789.64835,40540.86813,137174.3473,217245.8848,330055.8349,198902.8035,48011.02154,100009.6695,186248.7358,99371.64923,331185.6624,288704.1495,253613.0374,284876.0281,70820.2444,37005.17275,43863.89011,68214.99516,87089.76,671835.2914,55826.76923,56624.29451,61050.55978,81586.8356,176380.6898,53806.37187,63323.50681,209589.6422,149216.9789,552366.0053,189970.5204,93629.46725,762460.7468,51280.87516,34054.32923,2239929.487,47213.49626,1399975.867,104954.3262,50084.58725,181277.4949,197945.7732,102402.2453,135100.7815,71872.97776,27275.3644,334801.1103,210068.1574,190768.0457,389670.8492,174339.0251,51520.13275,54869.7389,107984.9222,135738.8018,44501.91033,131272.6602,37483.68791,21852.19253,712828.0905,128242.0642,15152.98022,371965.7881,73372.32527,45139.93055,1375412.089,42747.35473,61568.95121,38281.21319,685552.7262,47851.51648,51360.62769,668007.1701,52158.15297,212939.2484,39557.25363,182952.298,241012.138,67949.15341,41949.82945,645038.4422,38440.71824,60133.40571,65397.07253,54072.21363,246754.32,403069.2738,958146.8651,50084.58725,47373.00132,34134.08176,471496.9424,578684.3393,334801.1103,145149.6,4785.151648,574537.2079,505631.0242,1814210.495,626376.3508,657001.3213,21214.17231,185982.8941,156474.4589,114684.1345,20416.64703,28870.41495,114365.1244,102561.7503,33815.07165,103837.7908,44820.92044,74648.36571,33815.07165,45618.44571,280888.4018,125530.4782,1602547.287,112770.0738
6,7/31/2002,160.466129,196904.1587,32416.16957,55444.48804,90027.08478,250182.2196,68202.33696,40787.6721,138009.4348,218568.4304,332065.1429,200113.6804,48303.30217,100618.5065,187382.5775,99976.60217,333201.8486,290461.7174,255156.9783,286610.2913,71251.38261,37230.45217,44130.92391,68630.27319,87619.94348,675925.2783,56166.63043,56969.01087,61422.22228,82083.51848,177454.457,54133.93333,63709.00652,210865.5783,150125.3793,555728.6891,191127.0196,94199.46304,767102.4417,51593.06196,34261.64457,2253565.689,47500.92174,1408498.615,105593.2652,50389.4913,182381.0728,199150.8239,103025.6478,135923.2457,72310.52478,27441.41087,336839.3065,211347.0065,191929.4,392043.0804,175400.363,51833.77609,55203.77391,108642.3109,136565.15,44772.82826,132071.8196,37711.88043,21985.22391,717167.6326,129022.7739,15245.22826,374230.2348,73819,45414.73261,1383785.298,43007.5913,61943.76957,38514.26087,689726.2217,48142.82609,51673.3,672073.8522,52475.68043,214235.5761,39798.06957,184066.0717,242479.3674,68362.81304,42205.21087,648965.2957,38674.73696,60499.48478,65795.19565,54401.39348,248256.5065,405523.0717,963979.8543,50389.4913,47661.39783,34341.88261,474367.313,582207.2435,336839.3065,146033.2391,4814.282609,578034.8652,508709.1957,1825255.013,630189.5935,661001.0022,21343.31957,187115.1174,157427.0413,115382.3065,20540.93913,29046.17174,115061.3543,103186.1239,34020.93043,104469.9326,45093.78043,75102.8087,34020.93043,45896.16087,282598.3891,126294.6804,1612303.246,113456.5935
7,8/31/2002,161.4127957,198078.3443,32609.47478,55775.11652,90563.93739,251674.1148,68609.04348,41030.89855,138832.4174,219871.8052,334045.3252,201307.0052,48591.34609,101218.5183,188499.9838,100572.7861,335188.8093,292193.8087,256678.5391,288319.4157,71676.2713,37452.46609,44394.08696,69039.53159,88142.44174,679955.9791,56501.56522,57308.73043,61788.49739,82573.00174,178512.6595,54456.74667,64088.91826,212123.0191,151020.6122,559042.6296,192266.7548,94761.19652,771676.8533,51900.72348,34465.95478,2267004.23,47784.18087,1416897.823,106222.9426,50689.97565,183468.6539,200338.407,103640.0139,136733.7878,72741.72939,27605.05043,338847.9583,212607.3183,193073.92,394380.9252,176446.3165,52142.87304,55532.96696,109290.1704,137379.52,45039.81913,132859.3948,37936.76522,22116.32696,721444.2713,129792.167,15336.13913,376461.8574,74259.2,45685.5513,1392037.134,43264.05565,62313.15478,38743.93043,693839.2209,48429.91304,51981.44,676081.5861,52788.60522,215513.113,40035.39478,185163.7009,243925.3287,68770.47652,42456.89043,652835.2278,38905.36348,60860.25739,66187.54783,54725.80174,249736.9183,407941.3009,969728.2922,50689.97565,47945.61391,34546.6713,477196.0765,585679.0817,338847.9583,146904.0696,4842.991304,581481.8226,511742.7478,1836139.437,633947.5617,664942.7061,21470.59478,188230.9287,158365.8157,116070.3583,20663.42957,29219.38087,115747.4922,103801.447,34223.80522,105092.9113,45362.68522,75550.66435,34223.80522,46169.85043,284283.5896,127047.8052,1621917.788,114133.1617
8,9/30/2002,162.3584444,199214.653,32796.54435,56095.07957,91083.47217,253117.8843,69002.63043,41266.27899,139628.8522,221133.1357,335961.6307,202461.8357,48870.09826,101799.1748,189581.3446,101149.7383,337111.6745,293870.0261,258151.0174,289973.407,72087.45391,37667.31826,44648.76087,69435.58812,88648.08522,683856.6574,56825.69565,57637.4913,62142.95717,83046.69522,179536.7264,54769.14667,64456.57478,213339.8974,151886.9665,562249.6687,193369.7243,95304.80957,776103.7033,52198.46043,34663.67435,2280009.269,48058.30261,1425026.088,106832.3078,50980.76696,184521.1517,201487.6809,104234.5617,137518.1835,73159.02417,27763.4113,340791.8148,213826.9748,194181.52,396643.3557,177458.5296,52441.99913,55851.54087,109917.1313,138167.62,45298.19739,133621.5643,38154.39565,22243.20087,725582.9539,130536.7409,15424.11739,378621.4922,74685.2,45947.63391,1400022.782,43512.24696,62670.62435,38966.1913,697819.5426,48707.73913,52279.64,679960.0383,53091.43565,216749.4391,40265.06435,186225.9226,245324.6461,69164.98957,42700.4513,656580.3235,39128.55043,61209.39217,66567.24348,55039.74522,251169.5748,410281.5226,975291.2965,50980.76696,48220.66174,34744.85391,479933.5896,589038.9252,340791.8148,147746.8087,4870.773913,584817.5878,514678.4435,1846672.75,637584.3052,668757.2583,21593.76435,189310.7461,159274.307,116736.2148,20781.9687,29387.00261,116411.4965,104396.9209,34420.13565,105695.7939,45622.91565,75984.07304,34420.13565,46434.7113,285914.4287,127776.6357,1631222.183,114787.9052
9,10/31/2002,163.3093548,200392.8398,32990.50826,56426.83467,91622.15413,254614.8633,69410.72283,41510.33424,140454.6391,222440.9517,337948.5605,203659.2267,49159.1237,102401.2311,190702.5585,101747.9537,339105.4059,295608.0196,259677.763,291688.3552,72513.79043,37890.0887,44912.82065,69846.24109,89172.36391,687901.093,57161.77174,57978.36848,62510.48038,83537.84641,180598.5348,55093.06,64837.78109,214601.623,152785.2499,565574.9015,194513.3433,95868.45717,780693.7025,52507.17033,34868.68076,2293493.602,48342.52696,1433453.916,107464.1309,51282.27522,185612.4388,202679.3107,104851.0213,138331.4876,73591.69813,27927.60848,342807.3111,215091.5811,195329.94,398989.1667,178508.0472,52752.14935,56181.85565,110567.1985,138984.765,45566.09804,134411.8233,38380.04674,22374.75065,729874.1654,131308.7557,15515.33804,380860.7191,75126.9,46219.37543,1408302.736,43769.58522,63041.26826,39196.64348,701946.557,48995.80435,52588.83,683981.4287,53405.42674,218031.3293,40503.19826,187327.292,246775.5346,69574.04217,42952.98848,660463.4426,39359.96283,61571.39413,66960.93261,55365.25891,252655.0311,412707.992,981059.3224,51282.27522,48505.8463,34950.34043,482771.9922,592522.5939,342807.3111,148620.6065,4899.580435,588276.2909,517722.3326,1857594.262,641355.0789,672712.3937,21721.47326,190430.3596,160216.2802,117426.6111,20904.87652,29560.80196,117099.9724,105014.3407,34623.70174,106320.8954,45892.73674,76433.45478,34623.70174,46709.33348,287605.3715,128532.3267,1640869.488,115466.7789
