DATE,CDSP
2002-01-01,6.630399
2002-04-01,6.572331
2002-07-01,6.548053
2002-10-01,6.488476
2003-01-01,6.476760
2003-04-01,6.433324
2003-07-01,6.343899
2003-10-01,6.355908
2004-01-01,6.353072
2004-04-01,6.290821
2004-07-01,6.308902
2004-10-01,6.231522
2005-01-01,6.312140
2005-04-01,6.258962
2005-07-01,6.183913
2005-10-01,6.113573
2006-01-01,6.090556
2006-04-01,5.972178
2006-07-01,5.930910
2006-10-01,5.918700
2007-01-01,5.912060
2007-04-01,5.929037
2007-07-01,5.964206
2007-10-01,5.989616
2008-01-01,5.988084
2008-04-01,5.831160
2008-07-01,5.860999
2008-10-01,5.836388
2009-01-01,5.788204
2009-04-01,5.628210
2009-07-01,5.577130
2009-10-01,5.408764
2010-01-01,5.282869
2010-04-01,5.115657
2010-07-01,5.018042
2010-10-01,5.015650
2011-01-01,5.054058
2011-04-01,5.039760
2011-07-01,5.010556
2011-10-01,5.010210
2012-01-01,4.926405
2012-04-01,4.909285
2012-07-01,4.983431
2012-10-01,4.873146
2013-01-01,5.127731
2013-04-01,5.148918
2013-07-01,5.171866
2013-10-01,5.208652
2014-01-01,5.216393
2014-04-01,5.234056
2014-07-01,5.265500
2014-10-01,5.297455
2015-01-01,5.330700
2015-04-01,5.412206
2015-07-01,5.490398
2015-10-01,5.427941
2016-01-01,5.421714
2016-04-01,5.519508
2016-07-01,5.594818
2016-10-01,5.640046
2017-01-01,5.636303
2017-04-01,5.640226
2017-07-01,5.655483
2017-10-01,5.687040
2018-01-01,5.659516
2018-04-01,5.628007
2018-07-01,5.650169
2018-10-01,5.667725
2019-01-01,5.687107
2019-04-01,5.752595
2019-07-01,5.787448
2019-10-01,5.802936
2020-01-01,5.756354
2020-04-01,5.124079
2020-07-01,5.327470
2020-10-01,5.444396
2021-01-01,4.865959
2021-04-01,5.326542
2021-07-01,5.406188
