DATE,RHORUSQ156N
2002-01-01,67.8
2002-04-01,67.6
2002-07-01,68.0
2002-10-01,68.3
2003-01-01,68.0
2003-04-01,68.0
2003-07-01,68.4
2003-10-01,68.6
2004-01-01,68.6
2004-04-01,69.2
2004-07-01,69.0
2004-10-01,69.2
2005-01-01,69.1
2005-04-01,68.6
2005-07-01,68.8
2005-10-01,69.0
2006-01-01,68.5
2006-04-01,68.7
2006-07-01,69.0
2006-10-01,68.9
2007-01-01,68.4
2007-04-01,68.2
2007-07-01,68.2
2007-10-01,67.8
2008-01-01,67.8
2008-04-01,68.1
2008-07-01,67.9
2008-10-01,67.5
2009-01-01,67.3
2009-04-01,67.4
2009-07-01,67.6
2009-10-01,67.2
2010-01-01,67.1
2010-04-01,66.9
2010-07-01,66.9
2010-10-01,66.5
2011-01-01,66.4
2011-04-01,65.9
2011-07-01,66.3
2011-10-01,66.0
2012-01-01,65.4
2012-04-01,65.5
2012-07-01,65.5
2012-10-01,65.4
2013-01-01,65.0
2013-04-01,65.0
2013-07-01,65.3
2013-10-01,65.2
2014-01-01,64.8
2014-04-01,64.7
2014-07-01,64.4
2014-10-01,64.0
2015-01-01,63.7
2015-04-01,63.4
2015-07-01,63.7
2015-10-01,63.8
2016-01-01,63.5
2016-04-01,62.9
2016-07-01,63.5
2016-10-01,63.7
2017-01-01,63.6
2017-04-01,63.7
2017-07-01,63.9
2017-10-01,64.2
2018-01-01,64.2
2018-04-01,64.3
2018-07-01,64.4
2018-10-01,64.8
2019-01-01,64.2
2019-04-01,64.1
2019-07-01,64.8
2019-10-01,65.1
2020-01-01,65.3
2020-04-01,67.9
2020-07-01,67.4
2020-10-01,65.8
2021-01-01,65.6
2021-04-01,65.4
2021-07-01,65.4
2021-10-01,65.5
