DATE,T20YIEM
2004-07-01,2.80
2004-08-01,2.84
2004-09-01,2.73
2004-10-01,2.72
2004-11-01,2.80
2004-12-01,2.86
2005-01-01,2.79
2005-02-01,2.76
2005-03-01,2.94
2005-04-01,2.88
2005-05-01,2.74
2005-06-01,2.55
2005-07-01,2.48
2005-08-01,2.51
2005-09-01,2.58
2005-10-01,2.65
2005-11-01,2.67
2005-12-01,2.59
2006-01-01,2.60
2006-02-01,2.72
2006-03-01,2.74
2006-04-01,2.79
2006-05-01,2.87
2006-06-01,2.75
2006-07-01,2.73
2006-08-01,2.77
2006-09-01,2.62
2006-10-01,2.56
2006-11-01,2.55
2006-12-01,2.52
2007-01-01,2.53
2007-02-01,2.55
2007-03-01,2.54
2007-04-01,2.60
2007-05-01,2.53
2007-06-01,2.62
2007-07-01,2.57
2007-08-01,2.53
2007-09-01,2.54
2007-10-01,2.57
2007-11-01,2.57
2007-12-01,2.49
2008-01-01,2.54
2008-02-01,2.62
2008-03-01,2.60
2008-04-01,2.53
2008-05-01,2.60
2008-06-01,2.55
2008-07-01,2.53
2008-08-01,2.38
2008-09-01,2.07
2008-10-01,1.58
2008-11-01,1.27
2008-12-01,0.86
2009-01-01,1.00
2009-02-01,1.52
2009-03-01,1.52
2009-04-01,1.62
2009-05-01,1.86
2009-06-01,2.15
2009-07-01,2.07
2009-08-01,2.11
2009-09-01,2.01
2009-10-01,2.12
2009-11-01,2.34
2009-12-01,2.41
2010-01-01,2.50
2010-02-01,2.45
2010-03-01,2.51
2010-04-01,2.63
2010-05-01,2.39
2010-06-01,2.26
2010-07-01,2.00
2010-08-01,1.87
2010-09-01,1.89
2010-10-01,2.20
2010-11-01,2.38
2010-12-01,2.50
2011-01-01,2.58
2011-02-01,2.57
2011-03-01,2.69
2011-04-01,2.80
2011-05-01,2.54
2011-06-01,2.38
2011-07-01,2.59
2011-08-01,2.43
2011-09-01,2.14
2011-10-01,2.15
2011-11-01,2.17
2011-12-01,2.11
2012-01-01,2.19
2012-02-01,2.30
2012-03-01,2.38
2012-04-01,2.32
2012-05-01,2.09
2012-06-01,2.21
2012-07-01,2.23
2012-08-01,2.34
2012-09-01,2.47
2012-10-01,2.52
2012-11-01,2.45
2012-12-01,2.47
2013-01-01,2.48
2013-02-01,2.59
2013-03-01,2.59
2013-04-01,2.48
2013-05-01,2.38
2013-06-01,2.09
2013-07-01,2.22
2013-08-01,2.33
2013-09-01,2.31
2013-10-01,2.33
2013-11-01,2.30
2013-12-01,2.31
2014-01-01,2.35
2014-02-01,2.26
2014-03-01,2.30
2014-04-01,2.29
2014-05-01,2.30
2014-06-01,2.31
2014-07-01,2.35
2014-08-01,2.30
2014-09-01,2.20
2014-10-01,2.03
2014-11-01,1.99
2014-12-01,1.82
2015-01-01,1.70
2015-02-01,1.82
2015-03-01,1.86
2015-04-01,1.91
2015-05-01,1.99
2015-06-01,1.96
2015-07-01,1.90
2015-08-01,1.68
2015-09-01,1.61
2015-10-01,1.52
2015-11-01,1.66
2015-12-01,1.55
2016-01-01,1.44
2016-02-01,1.35
2016-03-01,1.55
2016-04-01,1.61
2016-05-01,1.58
2016-06-01,1.39
2016-07-01,1.40
2016-08-01,1.46
2016-09-01,1.55
2016-10-01,1.68
2016-11-01,1.85
2016-12-01,1.95
2017-01-01,2.01
2017-02-01,2.03
2017-03-01,2.04
2017-04-01,1.95
2017-05-01,1.90
2017-06-01,1.79
2017-07-01,1.81
2017-08-01,1.81
2017-09-01,1.86
2017-10-01,1.88
2017-11-01,1.88
2017-12-01,1.92
2018-01-01,2.04
2018-02-01,2.13
2018-03-01,2.08
2018-04-01,2.11
2018-05-01,2.13
2018-06-01,2.11
2018-07-01,2.1
2018-08-01,2.11
2018-09-01,2.13
2018-10-01,2.13
2018-11-01,2.06
2018-12-01,1.87
2019-01-01,1.82
2019-02-01,1.91
2019-03-01,1.95
2019-04-01,1.97
2019-05-01,1.88
2019-06-01,1.77
2019-07-01,1.82
2019-08-01,1.66
2019-09-01,1.65
2019-10-01,1.64
2019-11-01,1.76
2019-12-01,1.81
2020-01-01,1.81
2020-02-01,1.69
2020-03-01,1.23
2020-04-01,1.34
2020-05-01,1.38
2020-06-01,1.55
2020-07-01,1.61
2020-08-01,1.76
2020-09-01,1.8
2020-10-01,1.85
2020-11-01,1.84
2020-12-01,2.01
2021-01-01,2.16
2021-02-01,2.23
2021-03-01,2.38
2021-04-01,2.4
2021-05-01,2.49
2021-06-01,2.43
2021-07-01,2.39
2021-08-01,2.39
2021-09-01,2.38
2021-10-01,2.54
2021-11-01,2.6
2021-12-01,2.51
2022-01-01,2.46
2022-02-01,2.44
