DATE,REITDSA
2002-01-01,36667.00
2002-04-01,42685.00
2002-07-01,46378.00
2002-10-01,42116.00
2003-01-01,42526.00
2003-04-01,43746.00
2003-07-01,43732.00
2003-10-01,47764.00
2004-01-01,62316.00
2004-04-01,64709.00
2004-07-01,73900.00
2004-10-01,80667.00
2005-01-01,82618.00
2005-04-01,88547.00
2005-07-01,92659.00
2005-10-01,93604.00
2006-01-01,95408.00
2006-04-01,106659.00
2006-07-01,115037.00
2006-10-01,130024.00
2007-01-01,140546.00
2007-04-01,141794.00
2007-07-01,117270.00
2007-10-01,123340.00
2008-01-01,115751.00
2008-04-01,120899.00
2008-07-01,113241.00
2008-10-01,101293.00
2009-01-01,105379.00
2009-04-01,115253.00
2009-07-01,121323.00
2009-10-01,121197.00
2010-01-01,127493.00
2010-04-01,133839.00
2010-07-01,149556.00
2010-10-01,166571.00
2011-01-01,216511.00
2011-04-01,244334.00
2011-07-01,267335.00
2011-10-01,275086.00
2012-01-01,333198.00
2012-04-01,352793.00
2012-07-01,413087.00
2012-10-01,394088.00
2013-01-01,385660.00
2013-04-01,367480.00
2013-07-01,346750.00
2013-10-01,304365.00
2014-01-01,294524.00
2014-04-01,304483.00
2014-07-01,299077.00
2014-10-01,312017.00
2015-01-01,308342.00
2015-04-01,287737.00
2015-07-01,280373.00
2015-10-01,267310.00
2016-01-01,266208.00
2016-04-01,253198.00
2016-07-01,251506.00
2016-10-01,240891.0
2017-01-01,250095.0
2017-04-01,255476.0
2017-07-01,282788.0
2017-10-01,297558.0
2018-01-01,293130.0
2018-04-01,290785.0
2018-07-01,311913.0
2018-10-01,324492.0
2019-01-01,354972.0
2019-04-01,377655.0
2019-07-01,384297.0
2019-10-01,386680.0
2020-01-01,246325.0
2020-04-01,241769.0
2020-07-01,234814.0
2020-10-01,236821.0
2021-01-01,223752.0
2021-04-01,216572.0
2021-07-01,197662.0
2021-10-01,192665.0
