DATE,REITTMA
2002-01-01,17588.00
2002-04-01,19924.00
2002-07-01,23434.00
2002-10-01,28113.00
2003-01-01,26503.00
2003-04-01,33606.00
2003-07-01,40623.00
2003-10-01,48836.00
2004-01-01,55779.00
2004-04-01,66775.00
2004-07-01,80549.00
2004-10-01,118406.00
2005-01-01,126083.00
2005-04-01,138121.00
2005-07-01,147766.00
2005-10-01,146719.00
2006-01-01,156493.00
2006-04-01,158840.00
2006-07-01,159200.00
2006-10-01,136338.00
2007-01-01,148698.00
2007-04-01,139491.00
2007-07-01,132127.00
2007-10-01,123134.00
2008-01-01,108948.00
2008-04-01,103469.00
2008-07-01,98163.00
2008-10-01,76261.00
2009-01-01,54747.00
2009-04-01,52722.00
2009-07-01,48062.00
2009-10-01,45988.00
2010-01-01,51485.00
2010-04-01,46022.00
2010-07-01,44798.00
2010-10-01,44567.00
2011-01-01,56577.00
2011-04-01,58680.00
2011-07-01,56614.00
2011-10-01,56075.00
2012-01-01,55535.00
2012-04-01,58329.00
2012-07-01,60046.00
2012-10-01,64456.00
2013-01-01,63055.00
2013-04-01,207541.00
2013-07-01,207913.00
2013-10-01,214736.00
2014-01-01,237281.00
2014-04-01,237041.00
2014-07-01,241139.00
2014-10-01,247269.00
2015-01-01,240705.00
2015-04-01,241703.00
2015-07-01,230382.00
2015-10-01,217721.00
2016-01-01,227692.00
2016-04-01,225177.00
2016-07-01,243207.00
2016-10-01,227763.0
2017-01-01,223984.0
2017-04-01,223346.0
2017-07-01,222940.0
2017-10-01,234824.0
2018-01-01,232877.0
2018-04-01,231292.0
2018-07-01,237453.0
2018-10-01,254977.0
2019-01-01,264793.0
2019-04-01,276042.0
2019-07-01,285590.0
2019-10-01,273864.0
2020-01-01,250792.0
2020-04-01,247914.0
2020-07-01,260052.0
2020-10-01,259210.0
2021-01-01,265755.0
2021-04-01,281737.0
2021-07-01,302288.0
2021-10-01,313981.0
