DATE,AllEmployeesConstructionFL
2002-01,501.3
2002-02,500.1
2002-03,500.5
2002-04,502.4
2002-05,502.8
2002-06,501.9
2002-07,500.7
2002-08,504.7
2002-09,505.9
2002-10,511.0
2002-11,512.8
2002-12,513.7
2003-01,514.7
2003-02,515.8
2003-03,516.2
2003-04,517.0
2003-05,519.2
2003-06,522.1
2003-07,524.2
2003-08,526.8
2003-09,529.1
2003-10,530.4
2003-11,533.5
2003-12,538.6
2004-01,550.4
2004-02,553.8
2004-03,557.1
2004-04,562.4
2004-05,563.3
2004-06,567.4
2004-07,574.6
2004-08,578.2
2004-09,577.6
2004-10,590.4
2004-11,596.0
2004-12,601.5
2005-01,608.2
2005-02,611.9
2005-03,612.3
2005-04,623.0
2005-05,627.1
2005-06,631.0
2005-07,641.4
2005-08,646.8
2005-09,653.1
2005-10,658.7
2005-11,664.4
2005-12,669.5
2006-01,674.7
2006-02,680.0
2006-03,683.9
2006-04,687.5
2006-05,689.3
2006-06,689.0
2006-07,687.1
2006-08,686.4
2006-09,683.4
2006-10,679.7
2006-11,674.7
2006-12,669.3
2007-01,663.7
2007-02,657.6
2007-03,654.4
2007-04,641.1
2007-05,636.4
2007-06,632.0
2007-07,618.8
2007-08,611.9
2007-09,603.5
2007-10,591.9
2007-11,585.5
2007-12,577.8
2008-01,567.0
2008-02,559.5
2008-03,549.8
2008-04,535.5
2008-05,529.3
2008-06,521.2
2008-07,510.8
2008-08,502.0
2008-09,496.2
2008-10,484.4
2008-11,473.6
2008-12,462.5
2009-01,444.2
2009-02,431.5
2009-03,421.2
2009-04,411.1
2009-05,403.6
2009-06,396.4
2009-07,390.2
2009-08,382.8
2009-09,377.8
2009-10,372.3
2009-11,367.0
2009-12,363.1
2010-01,355.6
2010-02,353.9
2010-03,351.9
2010-04,358.8
2010-05,354.7
2010-06,352.8
2010-07,357.3
2010-08,352.6
2010-09,347.8
2010-10,344.5
2010-11,341.1
2010-12,338.4
2011-01,336.1
2011-02,335.0
2011-03,333.7
2011-04,337.6
2011-05,335.5
2011-06,333.6
2011-07,336.6
2011-08,334.9
2011-09,336.9
2011-10,334.5
2011-11,335.5
2011-12,335.8
2012-01,336.3
2012-02,336.1
2012-03,337.1
2012-04,338.0
2012-05,339.0
2012-06,340.4
2012-07,341.5
2012-08,343.6
2012-09,345.5
2012-10,347.4
2012-11,349.9
2012-12,350.4
2013-01,352.1
2013-02,353.8
2013-03,356.1
2013-04,359.6
2013-05,362.1
2013-06,363.3
2013-07,367.3
2013-08,371.5
2013-09,372.8
2013-10,374.9
2013-11,377.9
2013-12,380.2
2014-01,381.7
2014-02,384.8
2014-03,386.2
2014-04,390.3
2014-05,393.7
2014-06,395.8
2014-07,399.2
2014-08,402.2
2014-09,404.2
2014-10,408.4
2014-11,409.4
2014-12,411.7
2015-01,415.1
2015-02,417.3
2015-03,419.8
2015-04,423.3
2015-05,426.0
2015-06,429.2
2015-07,432.6
2015-08,435.4
2015-09,438.1
2015-10,447.7
2015-11,450.6
2015-12,453.9
2016-01,457.3
2016-02,460.9
2016-03,463.4
2016-04,469.1
2016-05,470.5
2016-06,472.4
2016-07,477.2
2016-08,479.4
2016-09,484.1
2016-10,486.8
2016-11,490.3
2016-12,493.0
2017-01,495.2
2017-02,498.0
2017-03,500.1
2017-04,501.0
2017-05,503.9
2017-06,507.0
2017-07,507.6
2017-08,510.4
2017-09,485.0
2017-10,515.0
2017-11,517.5
2017-12,520.5
2018-01,524.6
2018-02,532.2
2018-03,534.9
2018-04,537.5
2018-05,538.1
2018-06,542.5
2018-07,542.9
2018-08,547.1
2018-09,548.9
2018-10,552.5
2018-11,554.2
2018-12,556.0
2019-01,557.8
2019-02,558.9
2019-03,559.4
2019-04,560.3
2019-05,562.0
2019-06,563.4
2019-07,565.0
2019-08,568.3
2019-09,568.7
2019-10,571.5
2019-11,574.9
2019-12,573.2
2020-01,574.9
2020-02,577.4
2020-03,572.6
2020-04,538.3
2020-05,558.1
2020-06,563.2
2020-07,559.1
2020-08,561.0
2020-09,559.0
2020-10,564.7
2020-11,563.4
2020-12,566.1
2021-01,568.3
2021-02,570.7
2021-03,573.2
2021-04,575.8
2021-05,575.2
2021-06,573.0
2021-07,576.7
2021-08,575.0
2021-09,576.6
2021-10,577.3
2021-11,585.0
2021-12,581.4
2022-01,586.0
2022-02,591.5
