DATE,VacantHousingInventory
2002-01,14342.0
2002-02,14297.0
2002-03,14252.0
2002-04,14207.0
2002-05,14265.666666666666
2002-06,14324.333333333334
2002-07,14383.0
2002-08,14452.333333333334
2002-09,14521.666666666666
2002-10,14591.0
2002-11,14696.666666666666
2002-12,14802.333333333334
2003-01,14908.0
2003-02,15020.0
2003-03,15132.0
2003-04,15244.0
2003-05,15367.333333333334
2003-06,15490.666666666666
2003-07,15614.0
2003-08,15627.333333333334
2003-09,15640.666666666666
2003-10,15654.0
2003-11,15734.333333333334
2003-12,15814.666666666666
2004-01,15895.0
2004-02,15956.333333333334
2004-03,16017.666666666666
2004-04,16079.0
2004-05,15938.0
2004-06,15797.0
2004-07,15656.0
2004-08,15557.666666666666
2004-09,15459.333333333334
2004-10,15361.0
2004-11,15490.0
2004-12,15619.0
2005-01,15748.0
2005-02,15852.333333333334
2005-03,15956.666666666666
2005-04,16061.0
2005-05,16001.666666666666
2005-06,15942.333333333334
2005-07,15883.0
2005-08,15863.0
2005-09,15843.0
2005-10,15823.0
2005-11,15960.0
2005-12,16097.0
2006-01,16234.0
2006-02,16327.0
2006-03,16420.0
2006-04,16513.0
2006-05,16598.333333333332
2006-06,16683.666666666668
2006-07,16769.0
2006-08,16810.666666666668
2006-09,16852.333333333332
2006-10,16894.0
2006-11,17170.666666666668
2006-12,17447.333333333332
2007-01,17724.0
2007-02,17665.0
2007-03,17606.0
2007-04,17547.0
2007-05,17714.333333333332
2007-06,17881.666666666668
2007-07,18049.0
2007-08,18002.666666666668
2007-09,17956.333333333332
2007-10,17910.0
2007-11,18154.0
2007-12,18398.0
2008-01,18642.0
2008-02,18661.666666666668
2008-03,18681.333333333332
2008-04,18701.0
2008-05,18684.333333333332
2008-06,18667.666666666668
2008-07,18651.0
2008-08,18758.333333333332
2008-09,18865.666666666668
2008-10,18973.0
2008-11,19027.666666666668
2008-12,19082.333333333332
2009-01,19137.0
2009-02,19008.666666666668
2009-03,18880.333333333332
2009-04,18752.0
2009-05,18833.333333333332
2009-06,18914.666666666668
2009-07,18996.0
2009-08,18999.333333333332
2009-09,19002.666666666668
2009-10,19006.0
2009-11,19046.0
2009-12,19086.0
2010-01,19126.0
2010-02,19091.333333333332
2010-03,19056.666666666668
2010-04,19022.0
2010-05,18992.333333333332
2010-06,18962.666666666668
2010-07,18933.0
2010-08,18805.666666666668
2010-09,18678.333333333332
2010-10,18551.0
2010-11,18700.0
2010-12,18849.0
2011-01,18998.0
2011-02,18946.333333333332
2011-03,18894.666666666668
2011-04,18843.0
2011-05,18829.666666666668
2011-06,18816.333333333332
2011-07,18803.0
2011-08,18665.0
2011-09,18527.0
2011-10,18389.0
2011-11,18418.0
2011-12,18447.0
2012-01,18476.0
2012-02,18490.333333333332
2012-03,18504.666666666668
2012-04,18519.0
2012-05,18395.666666666668
2012-06,18272.333333333332
2012-07,18149.0
2012-08,18079.0
2012-09,18009.0
2012-10,17939.0
2012-11,18112.333333333332
2012-12,18285.666666666668
2013-01,18459.0
2013-02,18361.0
2013-03,18263.0
2013-04,18165.0
2013-05,18169.0
2013-06,18173.0
2013-07,18177.0
2013-08,18147.0
2013-09,18117.0
2013-10,18087.0
2013-11,18209.0
2013-12,18331.0
2014-01,18453.0
2014-02,18375.0
2014-03,18297.0
2014-04,18219.0
2014-05,18202.666666666668
2014-06,18186.333333333332
2014-07,18170.0
2014-08,17765.333333333332
2014-09,17360.666666666668
2014-10,16956.0
2014-11,17138.0
2014-12,17320.0
2015-01,17502.0
2015-02,17461.0
2015-03,17420.0
2015-04,17379.0
2015-05,17422.666666666668
2015-06,17466.333333333332
2015-07,17510.0
2015-08,17436.0
2015-09,17362.0
2015-10,17288.0
2015-11,17444.666666666668
2015-12,17601.333333333332
2016-01,17758.0
2016-02,17594.666666666668
2016-03,17431.333333333332
2016-04,17268.0
2016-05,17232.0
2016-06,17196.0
2016-07,17160.0
2016-08,17216.0
2016-09,17272.0
2016-10,17328.0
2016-11,17346.666666666668
2016-12,17365.333333333332
2017-01,17384.0
2017-02,17468.333333333332
2017-03,17552.666666666668
2017-04,17637.0
2017-05,17652.666666666668
2017-06,17668.333333333332
2017-07,17684.0
2017-08,17394.0
2017-09,17104.0
2017-10,16814.0
2017-11,16962.0
2017-12,17110.0
2018-01,17258.0
2018-02,17192.0
2018-03,17126.0
2018-04,17060.0
2018-05,17113.666666666668
2018-06,17167.333333333332
2018-07,17221.0
2018-08,16941.333333333332
2018-09,16661.666666666668
2018-10,16382.0
2018-11,16526.0
2018-12,16670.0
2019-01,16814.0
2019-02,16886.333333333332
2019-03,16958.666666666668
2019-04,17031.0
2019-05,17033.333333333332
2019-06,17035.666666666668
2019-07,17038.0
2019-08,16729.666666666668
2019-09,16421.333333333332
2019-10,16113.0
2019-11,16064.333333333334
2019-12,16015.666666666666
2020-01,15967.0
2020-02,15268.666666666666
2020-03,14570.333333333334
2020-04,13872.0
2020-05,13995.333333333334
2020-06,14118.666666666666
2020-07,14242.0
2020-08,14639.333333333334
2020-09,15036.666666666666
2020-10,15434.0
2020-11,15486.0
2020-12,15538.0
2021-01,15590.0
2021-02,15606.333333333334
2021-03,15622.666666666666
2021-04,15639.0
2021-05,15487.666666666666
2021-06,15336.333333333334
2021-07,15185.0
2021-08,15115.0
2021-09,15045.0
2021-10,14975.0
