DATE,MonthlyHouseSupply
2002-01,4.2
2002-02,4.0
2002-03,4.1
2002-04,4.3
2002-05,4.0
2002-06,4.2
2002-07,4.2
2002-08,4.0
2002-09,3.9
2002-10,4.0
2002-11,4.0
2002-12,4.0
2003-01,4.0
2003-02,4.5
2003-03,4.1
2003-04,4.1
2003-05,3.9
2003-06,3.5
2003-07,3.6
2003-08,3.5
2003-09,3.8
2003-10,3.8
2003-11,4.1
2003-12,4.0
2004-01,3.8
2004-02,3.7
2004-03,3.6
2004-04,4.0
2004-05,3.8
2004-06,3.9
2004-07,4.5
2004-08,4.3
2004-09,4.1
2004-10,3.9
2004-11,4.3
2004-12,4.1
2005-01,4.4
2005-02,4.3
2005-03,4.1
2005-04,4.3
2005-05,4.2
2005-06,4.3
2005-07,4.2
2005-08,4.5
2005-09,4.7
2005-10,4.5
2005-11,5.0
2005-12,4.9
2006-01,5.3
2006-02,6.1
2006-03,5.9
2006-04,6.3
2006-05,6.2
2006-06,6.3
2006-07,7.3
2006-08,6.7
2006-09,6.7
2006-10,7.3
2006-11,6.6
2006-12,6.5
2007-01,7.2
2007-02,7.9
2007-03,7.9
2007-04,7.4
2007-05,7.8
2007-06,8.2
2007-07,8.3
2007-08,9.2
2007-09,9.2
2007-10,8.5
2007-11,9.4
2007-12,9.6
2008-01,9.3
2008-02,9.7
2008-03,10.5
2008-04,10.3
2008-05,10.7
2008-06,10.7
2008-07,10.5
2008-08,11.3
2008-09,10.9
2008-10,11.6
2008-11,11.4
2008-12,11.2
2009-01,12.2
2009-02,10.5
2009-03,11.0
2009-04,10.7
2009-05,9.3
2009-06,8.5
2009-07,7.9
2009-08,7.5
2009-09,7.8
2009-10,7.4
2009-11,7.6
2009-12,8.0
2010-01,8.1
2010-02,8.3
2010-03,7.1
2010-04,6.2
2010-05,9.3
2010-06,8.3
2010-07,8.9
2010-08,8.8
2010-09,7.6
2010-10,8.2
2010-11,8.2
2010-12,7.0
2011-01,7.3
2011-02,8.1
2011-03,7.2
2011-04,6.7
2011-05,6.6
2011-06,6.6
2011-07,6.7
2011-08,6.5
2011-09,6.3
2011-10,6.0
2011-11,5.7
2011-12,5.3
2012-01,5.3
2012-02,4.8
2012-03,4.9
2012-04,4.9
2012-05,4.7
2012-06,4.8
2012-07,4.6
2012-08,4.6
2012-09,4.5
2012-10,4.9
2012-11,4.6
2012-12,4.5
2013-01,4.0
2013-02,4.1
2013-03,4.2
2013-04,4.4
2013-05,4.6
2013-06,4.1
2013-07,5.5
2013-08,5.5
2013-09,5.4
2013-10,4.9
2013-11,5.0
2013-12,5.2
2014-01,5.1
2014-02,5.3
2014-03,5.6
2014-04,5.7
2014-05,5.2
2014-06,5.7
2014-07,6.2
2014-08,5.4
2014-09,5.4
2014-10,5.3
2014-11,5.7
2014-12,5.1
2015-01,4.8
2015-02,4.5
2015-03,5.1
2015-04,4.9
2015-05,5.0
2015-06,5.4
2015-07,5.2
2015-08,5.0
2015-09,5.9
2015-10,5.6
2015-11,5.5
2015-12,5.1
2016-01,5.6
2016-02,5.5
2016-03,5.5
2016-04,5.0
2016-05,5.1
2016-06,5.3
2016-07,4.5
2016-08,5.0
2016-09,5.2
2016-10,5.2
2016-11,5.2
2016-12,5.4
2017-01,5.3
2017-02,5.2
2017-03,4.9
2017-04,5.3
2017-05,5.2
2017-06,5.4
2017-07,6.0
2017-08,6.2
2017-09,5.5
2017-10,5.5
2017-11,4.8
2017-12,5.3
2018-01,5.7
2018-02,5.5
2018-03,5.2
2018-04,5.5
2018-05,5.3
2018-06,6.2
2018-07,6.3
2018-08,6.6
2018-09,6.7
2018-10,7.3
2018-11,6.5
2018-12,7.3
2019-01,6.6
2019-02,6.0
2019-03,5.6
2019-04,5.8
2019-05,6.5
2019-06,5.6
2019-07,6.2
2019-08,5.8
2019-09,5.5
2019-10,5.5
2019-11,5.5
2019-12,5.3
2020-01,5.1
2020-02,5.3
2020-03,6.3
2020-04,6.6
2020-05,5.3
2020-06,4.3
2020-07,3.6
2020-08,3.5
2020-09,3.5
2020-10,3.5
2020-11,4.0
2020-12,3.8
2021-01,3.6
2021-02,4.5
2021-03,4.2
2021-04,4.8
2021-05,5.4
2021-06,6.1
2021-07,6.2
2021-08,6.8
2021-09,6.3
2021-10,7.0
2021-11,6.2
2021-12,5.4
2022-01,6.1
2022-02,6.3
