DATE,FedRate,CommoditiesGlobalPrice,AllEmployeesConstructionFL,HomeownershipRate,VacantHousingInventory,MonthlyHouseSupply,NewCompletedHousing,NewUnderConstrHousing,RentalVacancyRate,Taxes,ManufacturedHomesShipments,UnemploymentRate,ShillerIndex
2003-01,1.24,67.17082279,514.7,68,14908,4,1654,1049,9.4,6744,141,5.8,133.271389
2003-02,1.26,65.81239141,515.8,68,15020,4.5,1688,1044,9.466666667,6966.333333,138,5.9,134.6618959
2003-03,1.25,64.45396003,516.2,68,15132,4.1,1638,1044,9.533333333,7188.666667,128,5.9,135.520305
2003-04,1.26,63.09552864,517,68,15244,4.1,1662,1043,9.6,7411,131,6,136.6267382
2003-05,1.26,63.42155604,519.2,68.13333333,15367.33333,3.9,1733,1047,9.7,7359,130,6.1,138.1174296
2003-06,1.22,63.74758344,522.1,68.26666667,15490.66667,3.5,1641,1064,9.8,7307,131,6.3,138.6657443
2003-07,1.01,64.07361085,524.2,68.4,15614,3.6,1680,1078,9.9,7255,137,6.2,139.3518807
2003-08,1.03,65.53162115,526.8,68.46666667,15627.33333,3.5,1570,1102,10,7259,129,6.1,139.7002901
2003-09,1.01,66.98963146,529.1,68.53333333,15640.66667,3.8,1719,1121,10.1,7263,128,6.1,141.8645626
2003-10,1.01,68.44764177,530.4,68.6,15654,3.8,1728,1135,10.2,7267,126,6,143.2851662
2003-11,1,70.2468581,533.5,68.6,15734.33333,4.1,1692,1158,10.26666667,7474,125,5.8,144.8764102
2003-12,0.98,72.04607443,538.6,68.6,15814.66667,4,1716,1183,10.33333333,7681,126,5.7,145.2327633
2004-01,1,73.84529076,550.4,68.6,15895,3.8,1709,1191,10.4,7888,122,5.7,147.999063
2004-02,1.01,75.29777315,553.8,68.8,15956.33333,3.7,1718,1197,10.33333333,7945,123,5.6,149.5132241
2004-03,1,76.75025555,557.1,69,16017.66667,3.6,1794,1219,10.26666667,8002,133,5.8,152.6687463
2004-04,1,78.20273795,562.4,69.2,16079,4,1938,1222,10.2,8059,129,5.6,153.2278572
2004-05,1,78.9436646,563.3,69.13333333,15938,3.8,1893,1233,10.16666667,8033.666667,129,5.6,155.3634099
2004-06,1.03,79.68459126,567.4,69.06666667,15797,3.9,1857,1229,10.13333333,8008.333333,129,5.6,157.8340427
2004-07,1.26,80.42551791,574.6,69,15656,4.5,1881,1247,10.1,7983,129,5.5,159.9502676
2004-08,1.43,81.69337148,578.2,69.06666667,15557.66667,4.3,1911,1238,10.06666667,8010.333333,127,5.4,162.5786381
2004-09,1.61,82.96122504,577.6,69.13333333,15459.33333,4.1,1796,1247,10.03333333,8037.666667,134,5.4,165.0829197
2004-10,1.76,84.22907861,590.4,69.2,15361,3.9,1839,1264,10,8065,136,5.5,167.9594979
2004-11,1.93,85.86292182,596,69.16666667,15490,4.3,1758,1268,10.03333333,8509.666667,135,5.4,170.5881574
2004-12,2.16,87.49676503,601.5,69.13333333,15619,4.1,1921,1280,10.06666667,8954.333333,133,5.4,173.570296
2005-01,2.28,89.13060824,608.2,69.1,15748,4.4,1892,1302,10.1,9399,149,5.3,177.2422633
2005-02,2.5,90.65895771,611.9,68.93333333,15852.33333,4.3,1908,1322,10,9682.333333,138,5.4,180.8357125
2005-03,2.63,92.18730718,612.3,68.76666667,15956.66667,4.1,1787,1311,9.9,9965.666667,126,5.2,185.2656972
2005-04,2.79,93.71565664,623,68.6,16061,4.3,1927,1324,9.8,10249,131,5.2,188.4473013
2005-05,3,96.8481792,627.1,68.66666667,16001.66667,4.2,2103,1322,9.833333333,9974.333333,127,5.1,192.0071387
2005-06,3.04,99.98070176,631,68.73333333,15942.33333,4.3,1965,1329,9.866666667,9699.666667,128,5,196.8024418
2005-07,3.26,103.1132243,641.4,68.8,15883,4.2,1886,1338,9.9,9425,128,5,201.1148804
2005-08,3.5,103.6928869,646.8,68.86666667,15863,4.5,1952,1356,9.8,9429.333333,124,4.9,206.3913392
