zillow_addresses_clearwater,current_price_clearwater
"29141 Us Highway 19 N #62, Clearwater, FL 33761",26500
"1799 N Highland Ave #180, Clearwater, FL 33755",159000
"2028 N Betty Ln, Clearwater, FL 33755",350000
"1111 N Bayshore Blvd APT D4, Clearwater, FL 33759",592000
"1404 Spring Ln, Clearwater, FL 33755",575000
"1857 Lombardy Dr, Clearwater, FL 33755",369900
"2360 Irish Ln APT 44, Clearwater, FL 33763",165000
"3455 Countryside Blvd APT 108, Clearwater, FL 33761",249900
"445 Hamden Dr APT 403, Clearwater, FL 33767",859000
"212 S Aurora Ave, Clearwater, FL 33765",362000
"2650 Countryside Blvd APT C108, Clearwater, FL 33761",220000
"2225 S Lagoon Cir, Clearwater, FL 33765",512000
"363 S McMullen Booth Rd APT 108, Clearwater, FL 33759",178800
"2451 Golden Pasture Cir, Clearwater, FL 33764",425000
"812 Willowbranch Ave, Clearwater, FL 33764",850000
"801 N Keene Rd #X-4, Clearwater, FL 33755",127000
"15777 Bolesta Rd #237, Clearwater, FL 33760",57000
"1420 Poinciana Dr, Clearwater, FL 33764",319999
"29 Acacia St, Clearwater, FL 33767",1200000
"1591 Gulf Blvd APT 402S, Clearwater, FL 33767",599000
"1319 N McMullen Booth Rd #1319, Clearwater, FL 33759",280000
"1923 N Betty Ln, Clearwater, FL 33755",399900
"2040 World Parkway Blvd APT 40, Clearwater, FL 33763",199900
"2458 Florentine Way APT 68, Clearwater, FL 33763",184000
"2274 Capri Dr, Clearwater, FL 33763",326000
"29250 Us Highway 19 N UNIT 8, Clearwater, FL 33761",48000
"2007 N Keene Rd, Clearwater, FL 33755",439000
"2460 Franciscan Dr APT 44, Clearwater, FL 33763",219000
"603 Mandalay Ave #205, Clearwater, FL 33767",364500
"1540 Gulf Blvd APT 2104, Clearwater, FL 33767",1100000
"2886 Green Meadow Ct, Clearwater, FL 33761",980000
"880 Mandalay Ave APT C903, Clearwater, FL 33767",849900
"Sanderling Elite Plan, Aspen Trail",811995
"29250 Us Highway 19 N LOT 556, Clearwater, FL 33761",175000
"1290 Gulf Blvd APT 706, Clearwater, FL 33767",950000
"29250 Us Highway 19 N UNIT 477, Clearwater, FL 33761",84900
"14300 66th St N #111, Clearwater, FL 33764",64900
"2453 Brazilia Dr APT 1, Clearwater, FL 33763",224900
"2543 Oakleaf Ln APT C, Clearwater, FL 33763",289900
"Sanderling Plan, Aspen Trail",769995
"2413 Moore Haven Dr W, Clearwater, FL 33763",470000
"29250 Us Highway 19 N LOT 298, Clearwater, FL 33761",89500
"1433 S Belcher Rd APT B10, Clearwater, FL 33764",89000
"2465 Northside Dr APT 1704, Clearwater, FL 33761",224900
"2804 Edenwood St, Clearwater, FL 33759",125000
"2295 Americus Blvd E APT 55, Clearwater, FL 33763",259900
"1320 Woodbine St, Clearwater, FL 33755",84900
"2266 Lancaster Dr, Clearwater, FL 33764",219000
"14300 66th St N LOT 317, Clearwater, FL 33764",199900
"637 Harbor Is, Clearwater, FL 33767",349000
"2625 Teakwood Dr, Clearwater, FL 33764",1250000
"29081 Us Highway 19 N LOT 204, Clearwater, FL 33761",36000
"1451 Gulf Blvd APT 201, Clearwater, FL 33767",1999000
"4794 Lake Villa Dr #6, Clearwater, FL 33762",65000
"1612 N Betty Ln, Clearwater, FL 33755",89900
"121 Island Way APT 311, Clearwater, FL 33767",550000
"500 Windward Psge, Clearwater, FL 33767",130000
"100 Hampton Rd LOT 163, Clearwater, FL 33759",200000
"2240 Terrace Dr N, Clearwater, FL 33765",299900
"4563 Great Lakes Dr S, Clearwater, FL 33762",740000
"736 Island Way APT 102, Clearwater, FL 33767",64500
"1433 S Belcher Rd APT D1, Clearwater, FL 33764",362000
"2346 Druid Rd #906, Clearwater, FL 33764",1100000
"1575 Barry Rd, Clearwater, FL 33756",274900
"3077 Casa Del Sol Cir APT 105, Clearwater, FL 33761",699900
"105 Island Way APT 146, Clearwater, FL 33767",118000
"2746 Via Tivoli UNIT 114B, Clearwater, FL 33764",55000
"200 Windward Psge #106, Clearwater, FL 33767",470000
"806 Palm Bluff St, Clearwater, FL 33755",249000
"2709 Via Cipriani UNIT 514A, Clearwater, FL 33764",399000
"2634 Butterfly Dr, Clearwater, FL 33764",519950
"227 Bayside Dr, Clearwater, FL 33767",127700
"1210 Jackson Rd, Clearwater, FL 33755",290000
"101 S Fernwood Ave, Clearwater, FL 33765",584000
"1524 Cleveland St, Clearwater, FL 33755",68900
"14300 66th St N LOT 903, Clearwater, FL 33764",2955000
"2297 Sweet Grass Ct, Clearwater, FL 33759",775000
"603 Mandalay Ave #110, Clearwater, FL 33767",1239000
"1591 Gulf Blvd APT 104S, Clearwater, FL 33767",400000
"3022 Oakmont Dr, Clearwater, FL 33761",32000
"29081 Us Highway 19 N UNIT 31A, Clearwater, FL 33761",885000
"2378 Ecuadorian Way APT 38, Clearwater, FL 33763",365000
"1281 Mission Cir, Clearwater, FL 33759",650000
"2291 Gulf To Bay Blvd, Clearwater, FL 33765",1499999
"15777 Bolesta Rd LOT 157, Clearwater, FL 33760",53000
"2250 Terrace Dr N, Clearwater, FL 33765",269900
"618 S Crest Ave, Clearwater, FL 33756",150000
"500 N Osceola Ave PH H, Clearwater, FL 33755",28900
"2580 Nursery Rd #230, Clearwater, FL 33764",78500
"2550 State Route 580 LOT 356, Clearwater, FL 33761",285000
"29250 Us Highway 19 N LOT 601, Clearwater, FL 33761",175000
"400 Island Way APT 1406, Clearwater, FL 33767",299900
"1720 N Washington Ave, Clearwater, FL 33755",710000
"644 Island Way APT 706, Clearwater, FL 33767",32500
"804 Eldorado Ave, Clearwater, FL 33767",59900
"910 Nicholson St, Clearwater, FL 33755",240000
"404 Palm Bluff St, Clearwater, FL 33755",659000
"1799 N Highland Ave #26, Clearwater, FL 33755",415000
"2468 Florentine Way APT 60, Clearwater, FL 33763",624900
"2825 Chancery Ln, Clearwater, FL 33759",950000
"1621 Gulf Blvd APT 108, Clearwater, FL 33767",5500000
"2463 Gulf To Bay Blvd #128, Clearwater, FL 33765",119900
"2625 State Road 590 APT 2614, Clearwater, FL 33759",950000
"2346 Druid Rd #1112, Clearwater, FL 33764",165000
"2346 Druid Rd #526, Clearwater, FL 33764",169900
"24862 Us Highway 19 N APT 1504, Clearwater, FL 33763",1200000
"1284 S Kimona Dr, Clearwater, FL 33764",1199000
"880 Mandalay Ave APT S411, Clearwater, FL 33767",599999
"14300 66th St N #425, Clearwater, FL 33764",11999
"661 Poinsettia Ave APT 105, Clearwater, FL 33767",175000
"400 Island Way APT 103, Clearwater, FL 33767",77200
"1225 Grove St, Clearwater, FL 33755",26000
"2882 Gulf To Bay Blvd #134, Clearwater, FL 33759",129899
"1224 Palm St, Clearwater, FL 33755",64900
"1345 Drew St APT 1, Clearwater, FL 33755",54900
"701 S Madison Ave APT 414, Clearwater, FL 33756",435000
"1621 Gulf Blvd APT 1108, Clearwater, FL 33767",37500
"830 S Gulfview Blvd APT 102, Clearwater, FL 33767",389000
"2294 Belgian Ln APT 24, Clearwater, FL 33763",429000
"483 E Shore Dr #D3, Clearwater, FL 33767",309900
"29250 Us Highway 19 N LOT 535, Clearwater, FL 33761",26000
"2464 Australia Way E APT 72, Clearwater, FL 33763",449000
"1390 Gulf Blvd APT 1204, Clearwater, FL 33767",160000
"700 N Osceola Ave APT 304, Clearwater, FL 33755",159000
"2650 Countryside Blvd APT B203, Clearwater, FL 33761",649000
"2638 Fujiama Dr, Clearwater, FL 33764",515000
"2468 Florentine Way APT 52, Clearwater, FL 33763",254900
"700 S Glenwood Ave, Clearwater, FL 33756",339000
"880 Mandalay Ave APT N403, Clearwater, FL 33767",134900
"2072 Australia Way W APT 24, Clearwater, FL 33763",139900
"644 Island Way APT 405, Clearwater, FL 33767",979900
"420 N Bayshore Blvd APT 108, Clearwater, FL 33759",625000
"349 S McMullen Booth Rd APT 125, Clearwater, FL 33759",210000
"3025 Oakmont Dr, Clearwater, FL 33761",60000
