zillow_addresses_stPete,current_price_stPete
"5725 80th St N UNIT 406, Saint Petersburg, FL 33709",110000
"5286 81st St N APT 21, Saint Petersburg, FL 33709",99500
"1950 58th Ave N APT 17, Saint Petersburg, FL 33714",94000
"5257 81st Ln N APT 23, Saint Petersburg, FL 33709",100000
"4856 Snook Dr SE APT F, Saint Petersburg, FL 33705",299900
"115 112th Ave NE APT 1027, Saint Petersburg, FL 33716",259000
"1401 25th St S, Saint Petersburg, FL 33712",349000
"3135 34th Ave N, Saint Petersburg, FL 33713",300000
"968 Melrose Ave S, Saint Petersburg, FL 33705",410000
"5246 4th Ave N, Saint Petersburg, FL 33710",275000
"1743 Newark St S, Saint Petersburg, FL 33711",279900
"2726 16th Ave N, Saint Petersburg, FL 33713",369900
"5650 36th St N, Saint Petersburg, FL 33714",380000
"4654 78th Ln N, Saint Petersburg, FL 33709",352000
"3310 17th Ave S, Saint Petersburg, FL 33712",295000
"10263 Gandy Blvd N APT 102, Saint Petersburg, FL 33702",219900
"721 83rd Ave N APT 105, Saint Petersburg, FL 33702",196000
"4328 14th Way NE, Saint Petersburg, FL 33703",1100000
"4150 66th St N LOT 244, Saint Petersburg, FL 33709",159000
"11918 13th Way N, Saint Petersburg, FL 33716",334900
"8441 7th Way N, Saint Petersburg, FL 33702",425000
"6295 Bahia Del Mar Cir APT 403, Saint Petersburg, FL 33715",359000
"3419 3rd St N, Saint Petersburg, FL 33704",762000
"7322 Americana Dr NE #154, Saint Petersburg, FL 33702",220000
"1531 5th St S, Saint Petersburg, FL 33701",199000
"233 Mount Piney Ave NE #300, Saint Petersburg, FL 33702",329000
"523 4th Ave S UNIT 17, Saint Petersburg, FL 33701",525000
"1401 Brightwaters Blvd NE, Saint Petersburg, FL 33704",6799000
"7403 46th Ave N LOT 274, Saint Petersburg, FL 33709",25000
"427 38th Ave N, Saint Petersburg, FL 33704",299900
"2009 14th Ave S, Saint Petersburg, FL 33712",255000
"10265 Gandy Blvd N APT 1213, Saint Petersburg, FL 33702",249900
"1915 Carolina Ave NE, Saint Petersburg, FL 33703",4995000
"5250 Neil Dr, Saint Petersburg, FL 33714",399900
"3743 Pompano Dr SE #3743, Saint Petersburg, FL 33705",467500
"5720 Burlington Ave N, Saint Petersburg, FL 33710",329000
"3327 19th St N, Saint Petersburg, FL 33713",289000
"5910 Denver St NE, Saint Petersburg, FL 33703",579900
"1000 49th St N APT 214, Saint Petersburg, FL 33710",139000
"701 Mirror Lake Dr N APT 402, Saint Petersburg, FL 33701",315000
"1518 Scranton St S, Saint Petersburg, FL 33711",260000
"3125 54th Ave N, Saint Petersburg, FL 33714",234000
"207 Sea Horse Dr SE APT A, Saint Petersburg, FL 33705",204900
"1769 38th Ave N, Saint Petersburg, FL 33713",350000
"4540 52nd Ave N, Saint Petersburg, FL 33714",229900
"1231 15th Ave S, Saint Petersburg, FL 33705",255000
"5718 18th Ave N, Saint Petersburg, FL 33710",449944
"1090 7th Ave S, Saint Petersburg, FL 33705",380000
"6141 Bahia Del Mar Blvd APT 233, Saint Petersburg, FL 33715",449900
"2645 Bayside Dr S, Saint Petersburg, FL 33705",884900
